原材料名,個,大さじ,小さじ,カップ,合,升,切れ,片,丁,本,束,枚,尾,杯
ココナッツミルク,,,,,,,,,,,,,,
ナタデココ,,,,,,,,,,,,,,
さくらんぼ,,,,,,,,,,,,,,
ざくろ,,,,,,,,,,,,,,
すいか,,,,,,,,,,,,,,
スターフルーツ,,,,,,,,,,,,,,
すもも,,,,,,,,,,,,,,
プルーン(生),,,,,,,,,,,,,,
プルーン(乾),,,,,,,,,,,,,,
チェリモヤ,,,,,,,,,,,,,,
ドラゴンフルーツ,,,,,,,,,,,,,,
ドリアン,,,,,,,,,,,,,,
梨,,,,,,,,,,,,,,
洋梨,,,,,,,,,,,,,,
なつめ,,,,,,,,,,,,,,
なつめやし,,,,,,,,,,,,,,
パインアップル,1200,,,,,,,,,,,,,
パイナップルジュース,,,,,,,,,,,,,,
ハスカップ,,,,,,,,,,,,,,
パッションフルーツ,,,,,,,,,,,,,,
バナナ,,,,,,,,,,150,,,,
ドライバナナ,,,,,,,,,,,,,,
パパイヤ,,,,,,,,,,,,,,
びわ,,,,,,,,,,,,,,
ぶどう,,,,,,,,,,,,,,
干しぶどう,,,,,,,,,,,,,,
ぶどうジャム,,,,,,,,,,,,,,
ブルーベリー,,,,,,,,,,,,,,
ブルーベリージャム,,,,,,,,,,,,,,
ホワイトサポテ,,,,,,,,,,,,,,
マクワ瓜,,,,,,,,,,,,,,
マルメロ,,,,,,,,,,,,,,
マンゴー,360,,,,,,,,,,,,,
マンゴスチン,,,,,,,,,,,,,,
メロン,2000,,,,,,,,,,,,,
桃,,,,,,,,,,,,,,
ネクター,,,,,,,,,,,,,,
ネクタリン,,,,,,,,,,,,,,
ヤマモモ,,,,,,,,,,,,,,
ライチ,,,,,,,,,,,,,,
ラズベリー,,,,,,,,,,,,,,
竜眼,,,,,,,,,,,,,,
りんご,350,,,,,,,,,,,,,
りんごジュース,,,,,,,,,,,,,,
りんごジャム,,,,,,,,,,,,,,
エノキダケ,100,,,,,,,,,,,,,
アラゲキクラゲ,,,,,,,,,,,,,,
キクラゲ,,,,,,,,,,,,,,
黒あわび茸,,,,,,,,,,,,,,
椎茸,100,,,,,,,,,,,,,
椎茸(乾),,,,,,,,,,,,,,
しめじ,100,,,,,,,,,,,,,
ぶなしめじ,,,,,,,,,,,,,,
ほんしめじ,,,,,,,,,,,,,,
タモギダケ,,,,,,,,,,,,,,
なめこ,,,,,,,,,,,,,,
ヌメリスギダケ,,,,,,,,,,,,,,
ウスヒラケ,,,,,,,,,,,,,,
エリンギ,100,,,,,,,,,,,,,
ヒラタケ,,,,,,,,,,,,,,
舞茸,100,,,,,,,,,,,,,
マッシュルーム,150,,,,,,,,,,,,,
松茸,,,,,,,,,,,,,,
柳松茸,,,,,,,,,,,,,,
あおさ,,,,,,,,,,,,,,
青のり,,,,,,,,,,,,,,
あま海苔,,,,,,,,,,,,,,
焼き海苔,,,,,,,,,,,,,,
