name,calorie,protein,lipid,carbohydrate,salt
ヨシキリザメ,85,18.9,0.6,Tr,210
フカヒレ,342,83.9,1.6,Tr,180
サヨリ,95,19.6,1.3,Tr,190
サワラ,177,20.1,9.7,0.1,65
サンマ,297,17.6,23.6,0.1,130
シイラ,108,21.3,1.9,Tr,50
シシャモ,166,21.0,8.1,0.2,490
シタビラメ,96,19.2,1.6,Tr,140
シマアジ,168,21.9,8.0,0.1,53
シラウオ,77,13.6,2.0,0.1,170
シルバー,153,18.6,7.9,Tr,85
スズキ,123,19.8,4.2,Tr,81
タイ,108,18.6,3.1,0.2,73
クロダイ,150,20.4,6.7,0.3,59
チダイ,105,19.4,2.4,0.1,75
マダイ,142,20.6,5.8,0.1,55
タカサゴ,100,20.2,1.5,0.1,48
タカベ,164,18.7,9.0,Tr,120
タチウオ,266,16.5,20.9,Tr,88
スケトウダラ,76,17.4,0.3,0,100
タラコ,140,24.0,4.7,0.4,1800
明太子,126,21.0,3.3,3.0,2200
マダラ,77,17.6,0.2,0.1,110
シラコ,62,13.4,0.8,0.2,110
チカ,88,19.5,0.6,Tr,250
ドジョウ,79,16.1,1.2,Tr,96
トビウオ,96,21.0,0.7,0.1,64
ナイルティラピア,134,19.8,5.3,0.2,60
ナマズ,159,18.4,8.6,Tr,46
ニギス,91,18.7,1.2,0.1,190
ニシン,216,17.4,15.1,0.1,110
カズノコ,162,25.2,6.7,0.2,320
ハゼ,83,19.1,0.2,0.1,93
ハタハタ,113,14.1,5.7,Tr,180
ハマフエフキ,90,20.5,0.3,0.1,80
ハモ,144,22.3,5.3,Tr,66
ヒラマサ,142,22.6,4.9,0.1,47
ヒラメ,103,20.0,2.0,Tr,46
トラフグ,85,19.3,0.3,0.2,100
マフグ,84,18.9,0.4,Tr,83
フナ,101,18.2,2.5,0.1,30
ブリ,257,21.4,17.6,0.3,32
ハマチ,251,20.7,17.2,0.3,38
ホウボウ,122,19.6,4.2,Tr,110
ホキ,84,17.0,1.3,Tr,160
ホッケ,115,17.3,4.4,0.1,81
ボラ,128,19.2,5.0,0.1,87
ホンモロコ,113,17.5,4.1,0.1,86
キハダ,106,24.3,0.4,Tr,43
クロマグロ,125,26.4,1.4,0.1,49
ビンチョウマグロ,117,26.0,0.7,0.2,38
ミナミマグロ,93,21.6,0.1,0.1,43
メジマグロ,152,25.2,4.8,0.1,42
メバチ,108,22.8,1.2,0.2,49
シーチキン,97,18.3,2.5,0.4,260
はごろも煮,136,19.0,2.3,9.9,760
銀ムツ,272,13.3,22.9,0.1,65
マナガツオ,175,17.1,10.9,Tr,160
ミナミクロタチ,120,21.7,3.0,0.1,120
ミナミダラ,72,16.4,0.3,Tr,220
ムツ,189,16.7,12.6,Tr,85
メジナ,125,19.4,4.5,0.1,91
メバル,109,18.1,3.5,Tr,75
メルルーサ,77,17.0,0.6,Tr,140
ヤツメウナギ,273,15.8,21.8,0.2,49
ヤマメ,119,18.4,4.3,0.3,50
ワカサギ,77,14.4,1.7,0.1,200
アカガイ,74,13.5,0.3,3.5,300
アゲマキ,48,8.1,0.6,2.0,600
アサリ,30,6.0,0.3,0.4,870
アワビ,73,12.7,0.3,4.0,330
イガイ,70,10.3,1.4,3.2,540
イタヤガイ,59,10.8,0.8,1.5,450
エスカルゴ,82,16.5,1.0,0.8,260
牡蠣,60,6.6,1.4,4.7,520
サザエ,89,19.4,0.4,0.8,240
サルボウ,135,15.9,2.2,12.9,870
シジミ,64,7.5,1.4,4.5,180
タイラガイ,100,21.8,0.2,1.5,260
タニシ,80,13.0,1.1,3.6,23
ツブ,86,17.8,0.2,2.3,380
トコブシ,84,16.0,0.4,3.0,260
トリガイ,86,12.9,0.3,6.9,100
バイ,87,16.3,0.6,3.1,220
バカガイ,61,10.9,0.5,2.4,300
ハマグリ,39,6.1,0.6,1.8,780
ホタテ,72,13.5,0.9,1.5,320
ホッキガイ,73,11.1,1.1,3.8,250
ミルガイ,82,18.3,0.4,0.3,330
甘海老,87,19.8,0.3,0.1,300
伊勢海老,92,20.9,0.4,Tr,350
車海老,97,21.6,0.6,Tr,170
桜海老,91,18.2,1.5,Tr,830
大正海老,95,21.7,0.3,0.1,200
芝海老,83,18.7,0.4,0.1,250
バナメイエビ,91,19.6,0.6,0.7,140
ブラックタイガー,82,18.4,0.3,0.3,150
干しエビ,233,48.6,2.8,0.3,1500
ガザミ,65,14.4,0.3,0.3,360
毛ガニ,72,15.8,0.5,0.2,220
ズワイガニ,63,13.9,0.4,0.1,310
タラバガニ,59,13.0,0.3,0.2,340
